File,Title,Author,FirstLine,LongestLine
bp01.htm,A Bush Christening,Banjo Paterson,"On the outer Barcoo where the churches are few, And men of religion are scanty,",68
bp02.htm,Clancy of the Overflow,Banjo Paterson,"I had written him a letter which I had, for want of better  Knowledge, sent to where I met him down the Lachlan, years ago,",85
bp03.htm,The Geebung Polo Club,Banjo Paterson,"It was somewhere up the country, in a land of rock and scrub, That they formed an institution called the Geebung Polo Club.",83
bp04.htm,The Road to Hogan's Gap,Banjo Paterson ,"Now look, you see, it's this way like, You cross the broken bridge",57
bp05.htm,The Man From Ironbark,Banjo Paterson,"It was the man from Ironbark who struck the Sydney town, He wandered over street and park, he wandered up and down.",80
bp06.htm,Johnson's Antidote,Banjo Paterson,"Where the serpents are in millions, all of the most deadly stamp; Where the station-cook in terror, nearly every time he bakes,",84
bp07.htm,Lost,Banjo Paterson,"""He ought to be home,"" said the old man, ""without there’s something amiss. He only went to the Two-mile – he ought to be back by this.",85
bp08.htm,Mulga Bill's Bicycle,Banjo Paterson,"'Twas Mulga Bill, from Eaglehawk, that caught the cycling craze; He turned away the good old horse that served him many days;",81
bp09.htm,Old Pardon the Son of Reprieve,Banjo Paterson,"You never heard tell of the story? Well, now, I can hardly believe!",56
bp10.htm,The Travelling Post Office,Banjo Paterson,"The roving breezes come and go, the reed beds sweep and sway, The sleepy river murmurs low, and loiters on its way,",80
bp11.htm,Saltbush Bill,Banjo Paterson,Now this is the law of the Overland that all in the West obey - A man must cover with travelling sheep a six-mile stage a day;,95
bp12.htm,Santa Claus,Banjo Paterson,Halt! Who goes there? The sentry's call Rose on the midnight air,48
bp13.htm,Saltbush Bill's Second Fight,Banjo Paterson,"The news came down on the Castlereagh, and went to the world at large, That twenty thousand travelling sheep, with Saltbush Bill in charge,",94
bp14.htm,The Man From Snowy River,Banjo Paterson,"There was movement at the station, for the word had passed around That the colt from old Regret had got away,",83
bp15.htm,As Long as Your Eyes are Blue,Banjo Paterson,"Wilt thou love me, sweet, when my hair is grey And my cheeks shall have lost their hue?",59
bp16.htm,Saltbush Bill JP,Banjo Paterson,"Beyond the land where Leichhardt went, Beyond Sturt's Western track,",52
bp17.htm,Brumby's Run,Banjo Paterson,"It lies beyond the Western Pines Towards the sinking sun,",48
bp18.htm,An Idyll of Dandaloo,Banjo Paterson,"On Western plains, where shade is not, 'Neath summer skies of cloudless blue,",53
bp19.htm,A Mountain Station,Banjo Paterson,"I bought a run a while ago, On country rough and ridgy,",50
bp20.htm,On Kiley's Run,Banjo Paterson,"The roving breezes come and go On Kiley's Run,",53
bp21.htm,The All Right 'Un,Banjo Paterson,"He came from `further out', That land of heat and drought",49
bp22.htm,How Gilbert Died,Banjo Paterson,"There's never a stone at the sleeper's head, There's never a fence beside,",65
bp23.htm,How M'Ginnis Went Missing,Banjo Paterson,"Let us cease our idle chatter, Let the tears bedew our cheek,",44
bp24.htm,In the Droving Days,Banjo Paterson,"""Only a pound,"" said the auctioneer, ""Only a pound; and I'm standing here",59
bp25.htm,Been There Before,Banjo Paterson,"There came a stranger to Walgett town, To Walgett town when the sun was low,",56
bp26.htm,City of Dreadful Thirst,Banjo Paterson,The stranger came from Narromine and made his little joke;  "They say we folks in Narromine are narrow-minded folk. ,83
bp27.htm,There's Another Blessed Horse Fell Down,Banjo Paterson,"When you're lying in your hammock, sleeping soft and sleeping sound, Without a care or trouble on your mind,",77
bp28.htm,Song of the Pen,Banjo Paterson,"Not for the love of women toil we, we of the craft, Not for the people's praise;",66
bp29.htm,Saltbush Bill On Patriarchs,Banjo Paterson,"Come all you little rouseabouts and climb upon my knee; To-day, you see, is Christmas Day, and so it's up to me",85
bp30.htm,Waltzing Matilda,Banjo Paterson,"Oh! there once was a swagman camped in the Billabong, Under the shade of a Coolabah tree;",65
bp31.htm,The Old Timer's Steeplechase,Banjo Paterson,The sheep were shorn and the wool went down At the time of our local racing:,65
bp32.htm,It's Grand,Banjo Paterson,"It's grand to be a squatter And sit upon a post,",47
bp33.htm,The Old Australian Ways,Banjo Paterson,"The London lights are far abeam Behind a bank of cloud,",49
bp34.htm,Rio Grande's Last Race,Banjo Paterson,Now this was what Macpherson told While waiting in the stand;,57
bp35.htm,A Disqualified Jockey's Story,Banjo Paterson,"You see, the thing was this way - there was me, That rode Panoppoly, the Splendor mare,",61
bp36.htm,A Dream of the Melbourne Cup,Banjo Paterson,"Bring me a quart of colonial beer And some doughy damper to make good cheer,",62
bp37.htm,Conroy's Gap,Banjo Paterson,"This was the way of it, don't you know -- Ryan was `wanted' for stealing sheep,",60
bp38.htm,The Swagman's Rest,Banjo Paterson,We buried old Bob where the bloodwoods wave At the foot of the Eaglehawk;,61
bp39.htm,Jim Carew,Banjo Paterson,"Born of a thoroughbred English race, Well proportioned and closely knit,",56
hk01.htm,Bell Birds,Henry Kendall,"By channels of coolness the echoes are calling, And down the dim gorges I hear the creek falling;",64
hk02.htm,The Last of His Tribe,Henry Kendall,"He crouches, and buries his face on his knees, And hides in the dark of his hair;",65
hk03.htm,A Hyde Park Larrikin,Henry Kendall,"You may have heard of Proclus, sir, If you have been a reader;",52
hk04.htm,A Spanish Love Song,Henry Kendall,"From Andalusian gardens I bring the rose and rue,",45
hk05.htm,Billy Vickers,Henry Kendall,"No song is this of leaf and bird, And gracious waters flowing;",48
hk06.htm,Kiama,Henry Kendall,"Towards the hills of Jamberoo Some few fantastic shadows haste,",50
hk07.htm,Aileen,Henry Kendall,"A splendid sun betwixt the trees Long spikes of flame did shoot,",55
hk08.htm,Kooroora,Henry Kendall,"The gums in the gully stand gloomy and stark, A torrent beneath them is leaping,",66
hk09.htm,The Muse of Australia,Henry Kendall,"Where the pines with the eagles are nestled in rifts, And the torrent leaps down to the surges,",62
hk10.htm,Etheline,Henry Kendall,"The heart that once was rich with light, And happy in your grace,",50
hk11.htm,Song of the Cattle Hunters,Henry Kendall,"While the morning light beams on the fern-matted streams, And the water-pools flash in its glow,",66
hk12.htm,Footfalls,Henry Kendall,"The embers were blinking and clinking away, The casement half open was thrown;",65
hk13.htm,The Barcoo,Henry Kendall,"From the runs of the Narran, wide-dotted with sheep, And loud with the lowing of cattle,",67
hk14.htm,To Charles Harpur,Henry Kendall,"I would sit at your feet for long days, To hear the sweet Muse of the Wild",67
hk15.htm,September in Australia,Henry Kendall,"Grey Winter hath gone, like a wearisome guest, And, behold, for repayment,",63
hk16.htm,After Many Years,Henry Kendall,"The song that once I dreamed about, The tender, touching thing,",55
hl01.htm,Andys Gone With Cattle,Henry Lawson,Our Andy's gone with cattle now - Our hearts are out of order -,47
hl02.htm,Ballad of the Drover,Henry Lawson,"Across the stony ridges, Across the rolling plain,",44
hl04.htm,Waratah and Wattle,Henry Lawson,"Though poor and in trouble I wander alone, With a rebel cockade in my hat;",64
hl05.htm,The Paroo,Henry Lawson,"It was a week from Christmas-time, As near as I remember,",68
hl07.htm,The Glass on the Bar,Henry Lawson,"Three bushmen one morning rode up to an inn, And one of them called for the drinks with a grin;",67
hl08.htm,The Great Grey Plain,Henry Lawson,"Out West, where the stars are brightest, Where the scorching north wind blows,",58
hl09.htm,The Lights of Cobb & Co.,Henry Lawson,Fire lighted; on the table a meal for sleepy men; A lantern in the stable; a jingle now and then;,78
hl10.htm,The Sliprails and the Spur,Henry Lawson,The colours of the setting sun Withdrew across the Western land —,57
hl11.htm,The Teams,Henry Lawson,"A cloud of dust on the long, white road, And the teams go creeping on",57
hl12.htm,Trooper Campbell,Henry Lawson,"One day old Trooper Campbell Rode out to Blackman's Run,",55
hl13.htm,Faces in the Street,Henry Lawson,"They lie, the men who tell us in a loud decisive tone That want is here a stranger, and that misery's unknown;",81
hl14.htm,The Drover's Sweetheart,Henry Lawson,"An hour before the sun goes down Behind the ragged boughs,",50
hl15.htm,Out Back,Henry Lawson,"The old year went, and the new returned, in the withering weeks of drought, The cheque was spent that the shearer earned,",84
hl16.htm,Middleton's Rouseabout,Henry Lawson,"Tall and freckled and sandy, Face of a country lout;",43
hl17.htm,The Star of Australasia,Henry Lawson,"We boast no more of our bloodless flag, that rose from a nation's slime; Better a shred of a deep-dyed rag from the storms of the olden time.",84
hl18.htm,The Blue Mountains,Henry Lawson,"Above the ashes straight and tall, Through ferns with moisture dripping,",49
hl19.htm,Above Eurunderee,Henry Lawson,"There are scenes in the distance where beauty is not, On the desolate flats where gaunt appletrees rot.",65
hl20.htm,A Prouder Man Than You,Henry Lawson,"If you fancy that your people came of better stock than mine, If you hint of higher breeding by a word or by a sign,",81
hl21.htm,Past Carin,Henry Lawson,"Now up and down the siding brown The great black crows are flyin',",56
hl22.htm,In the days When the World was Wide,Henry Lawson,"The world is narrow and ways are short, and our lives are dull and slow, For little is new where the crowds resort, and less where the wanderers go;",97
hl23.htm,The Roaring Days,Henry Lawson,"The night too quickly passes And we are growing old,",48
hl24.htm,Corny Bill,Henry Lawson,"His old clay pipe stuck in his mouth, His hat pushed from his brow,",53
hl25.htm,Said Grenfell to my Spirit,Henry Lawson,"Said Grenfell to my spirit, ""You've been writing very free",76
